symbol,exchange,type,organ_short_name,organ_name,product_grp_id,icb_code2
V12,HNX,STOCK,VINACONEX 12,Công ty Cổ phần Xây dựng số 12,STX,2300
UNI,HNX,STOCK,Đầu tư và Phát triển Sao Mai Việt,Công ty Cổ phần Đầu tư và Phát triển Sao Mai Việt,STX,9500
UIC,HSX,STOCK,Phát triển Nhà và Đô thị IDICO,Công ty Cổ phần Đầu tư Phát triển Nhà và Đô thị IDICO,STO,7500
TYA,HSX,STOCK,Dây và Cáp điện Taya,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam,STO,2700
TXM,HNX,STOCK,Thạch cao Xi măng,Công ty Cổ phần VICEM Thạch cao Xi Măng,STX,2300
TVT,HSX,STOCK,May Việt Thắng,Tổng Công ty Việt Thắng - CTCP,STO,3700
TVS,HSX,STOCK,Chứng khoán Thiên Việt,Công ty Cổ phần Chứng khoán Thiên Việt,STO,8700
TVD,HNX,STOCK,Than Vàng Danh,Công ty Cổ phần Than Vàng Danh - Vinacomin,STX,1700
TVC,HNX,STOCK,Tập đoàn Quản lý tài sản T-Corp,Công ty Cổ phần Tập đoàn Quản lý tài sản T-Corp,STX,8700
TVB,HSX,STOCK,Chứng khoán T-Cap,Công ty Cổ phần Chứng khoán T-Cap,STO,8700
TV4,HNX,STOCK,Tư vấn XD Điện 4,Công ty Cổ phần Tư vấn Xây dựng Điện 4,STX,2700
TV3,HNX,STOCK,Tư vấn XD điện 3,Công ty Cổ phần Tư vấn Xây dựng Điện 3,STX,2300
TV2,HSX,STOCK,Tư vấn XD Điện 2,Công ty Cổ phần Tư vấn Xây dựng Điện 2,STO,2700
TTT,HNX,STOCK,Du lịch - Thương Mại Tây Ninh,Công ty Cổ phần Du Lịch - Thương Mại Tây Ninh,STX,5700
TTL,HNX,STOCK,TCT Thăng Long,Tổng Công ty Thăng Long - Công ty Cổ phần,STX,2300
TTH,HNX,STOCK,TM và DV Tiến Thành,Công ty Cổ phần Thương mại và Dịch vụ Tiến Thành,STX,1700
TTF,HSX,STOCK,Gỗ Trường Thành,Công ty Cổ phần Tập đoàn Kỹ nghệ Gỗ Trường Thành,STO,1700
TTE,HSX,STOCK,ĐT Năng lượng Trường Thịnh,Công ty Cổ phần Đầu tư Năng lượng Trường Thịnh,STO,7500
TTC,HNX,STOCK,Gạch men Thanh Thanh,Công ty Cổ phần Gạch men Thanh Thanh,STX,2300
TTA,HSX,STOCK,XD và PT Trường Thành,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Trường Thành,STO,7500
TSC,HSX,STOCK,Kỹ thuật NN Cần Thơ,Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,STO,1300
TSB,HNX,STOCK,Ắc quy Tia Sáng,Công ty Cổ phần Ắc quy Tia Sáng,STX,2700
TSA,HSX,STOCK,Đầu Tư Và Xây Lắp Trường Sơn,Công ty Cổ Phần Đầu Tư Và Xây Lắp Trường Sơn,STO,2300
TRC,HSX,STOCK,Cao su Tây Ninh,Công ty Cổ phần Cao su Tây Ninh,STO,1300
TRA,HSX,STOCK,Traphaco,Công ty Cổ phần Traphaco,STO,4500
TPP,HNX,STOCK,Nhựa Tân Phú VN,Công ty Cổ phần Tân Phú Việt Nam,STX,2700
TPC,HSX,STOCK,Nhựa Tân Đại Hưng,Công ty Cổ phần Nhựa Tân Đại Hưng,STO,1300
TPB,HSX,STOCK,TPBank,Ngân hàng Thương mại Cổ phần Tiên Phong,STO,8300
TOT,HNX,STOCK,Vận tải Transimex,Công ty Cổ phần Transimex Logistics,STX,2700
TNT,HSX,STOCK,Tập đoàn TNT,Công ty Cổ phần Tập đoàn TNT,STO,2300
TNI,HSX,STOCK,Tập đoàn Thành Nam,Công ty Cổ phần Tập đoàn Thành Nam,STO,1700
TNH,HSX,STOCK,Tập đoàn Bệnh viện TNH,Công ty Cổ phần Tập đoàn Bệnh viện TNH,STO,4500
TNG,HNX,STOCK,Đầu tư và Thương mại TNG,Công ty Cổ phần Đầu tư và Thương mại TNG,STX,3700
TNC,HSX,STOCK,Cao su Thống Nhất,Công ty Cổ phần Cao su Thống Nhất,STO,1300
TN1,HSX,STOCK,Rox Key Holdings,Công ty Cổ phần Rox Key Holdings,STO,8600
TMX,HNX,STOCK,Thương mại Xi măng,Công ty Cổ phần VICEM Thương mại Xi măng,STX,2300
TMT,HSX,STOCK,Ô tô TMT,Công ty Cổ phần Ô tô TMT,STO,3300
TMS,HSX,STOCK,Transimex,Công ty Cổ phần Transimex,STO,2700
TMP,HSX,STOCK,Thủy điện Thác Mơ,Công ty Cổ phần Thủy điện Thác Mơ,STO,7500
TMC,HNX,STOCK,XNK Thủ Đức,Công ty Cổ phần Thương mại Xuất nhập khẩu Thủ Đức,STX,7500
TMB,HNX,STOCK,Than Miền Bắc - Vinacomin,Công ty Cổ phần Kinh doanh Than Miền Bắc - Vinacomin,STX,1700
TLH,HSX,STOCK,Thép Tiến Lên,Công ty Cổ phần Tập đoàn Thép Tiến Lên,STO,1700
TLG,HSX,STOCK,Tập đoàn Thiên Long,Công ty Cổ phần Tập đoàn Thiên Long,STO,3700
TLD,HSX,STOCK,ĐT XD và PT Đô thị Thăng Long,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Đô thị Thăng Long,STO,2300
TKU,HNX,STOCK,Công nghiệp Tung Kuang,Công ty Cổ phần Công nghiệp Tung Kuang,STX,1700
TJC,HNX,STOCK,Dịch vụ Vận tải và Thương mại,Công ty Cổ phần Dịch vụ Vận tải và Thương mại,STX,2700
TIX,HSX,STOCK,TANIMEX,Công ty Cổ phần Sản xuất Kinh doanh Xuất nhập khẩu Dịch vụ và Đầu tư Tân Bình,STO,8600
TIP,HSX,STOCK,PT KCN Tín Nghĩa,Công ty Cổ phần Phát triển Khu công nghiệp Tín Nghĩa,STO,8600
TIG,HNX,STOCK,Tập đoàn Đầu tư Thăng Long,Công ty Cổ phần Tập đoàn Đầu tư Thăng Long,STX,8600
THT,HNX,STOCK,Than Hà Tu,Công ty Cổ phần Than Hà Tu - Vinacomin,STX,1700
THS,HNX,STOCK,Thanh Hoa Sông Đà,Công ty Cổ phần Thanh Hoa Sông Đà,STX,5300
THG,HSX,STOCK,XD Tiền Giang,Công ty Cổ phần Đầu tư và Xây dựng Tiền Giang,STO,2300
THD,HNX,STOCK,Công ty Thaiholdings,Công ty Cổ phần Thaiholdings,STX,8600
THB,HNX,STOCK,Bia Hà Nội - Thanh Hóa,Công ty Cổ phần Bia Hà Nội - Thanh Hóa,STX,3500
TFC,HNX,STOCK,CTCP Trang,Công ty Cổ phần Trang,STX,3500
TET,HNX,STOCK,May mặc Miền Bắc,Công ty Cổ phần Vải sợi May mặc Miền Bắc,STX,3700
TEG,HSX,STOCK,Trường Thành Energy Group,Công ty Cổ phần Trường Thành Energy Group,STO,8600
TDW,HSX,STOCK,Cấp nước Thủ Đức,Công ty Cổ phần Cấp nước Thủ Đức,STO,7500
TDT,HNX,STOCK,Đầu tư và Phát triển TDT,Công ty Cổ phần Đầu tư và Phát triển TDT,STX,3700
